alpha	beta	solved	time
0.0	1	1000	7.8578
0.0	2	1000	7.7797
0.0	3	1000	7.7232
0.0	4	1000	7.7817
0.0	5	1000	7.7032
0.0	6	1000	7.6840
0.0	7	1000	7.7054
0.0	8	1000	7.6967
0.0	9	1000	7.7776
0.0	10	1000	7.8477
0.0	11	1000	7.7163
0.0	12	1000	7.7084
0.0	13	1000	7.6740
0.0	14	1000	7.6895
0.0	15	1000	7.6689
0.0	16	1000	7.7018
0.0	17	1000	7.6662
0.0	18	1000	7.6954
0.0	19	1000	7.7433
0.0	20	1000	7.6815
0.1	1	1000	7.5565
0.1	2	1000	7.4056
0.1	3	1000	7.3896
0.1	4	1000	7.5096
0.1	5	1000	7.3724
0.1	6	1000	7.4038
0.1	7	1000	7.4041
0.1	8	1000	7.4100
0.1	9	1000	7.4230
0.1	10	1000	7.3387
0.1	11	1000	7.3708
0.1	12	1000	7.3635
0.1	13	1000	7.3619
0.1	14	1000	7.3381
0.1	15	1000	7.4080
0.1	16	1000	7.3981
0.1	17	1000	7.4684
0.1	18	1000	7.3842
0.1	19	1000	7.4258
0.1	20	1000	7.3695
0.2	1	1000	7.3028
0.2	2	1000	6.9884
0.2	3	1000	7.0321
0.2	4	1000	7.1185
0.2	5	1000	7.1866
0.2	6	1000	7.2315
0.2	7	1000	7.2459
0.2	8	1000	7.2628
0.2	9	1000	7.2345
0.2	10	1000	7.2215
0.2	11	1000	7.2124
0.2	12	1000	7.2443
0.2	13	1000	7.2238
0.2	14	1000	7.2318
0.2	15	1000	7.1803
0.2	16	1000	7.2297
0.2	17	1000	7.2863
0.2	18	1000	7.2571
0.2	19	1000	7.3087
0.2	20	1000	7.2784
0.30000000000000004	1	1000	6.7600
0.30000000000000004	2	1000	6.5137
0.30000000000000004	3	1000	6.6179
0.30000000000000004	4	1000	6.7571
0.30000000000000004	5	1000	6.8452
0.30000000000000004	6	1000	6.8689
0.30000000000000004	7	1000	6.9048
0.30000000000000004	8	1000	6.9855
0.30000000000000004	9	1000	7.0303
0.30000000000000004	10	1000	7.0592
0.30000000000000004	11	1000	7.0439
0.30000000000000004	12	1000	6.9961
0.30000000000000004	13	1000	7.0228
0.30000000000000004	14	1000	7.1424
0.30000000000000004	15	1000	7.0756
0.30000000000000004	16	1000	7.0027
0.30000000000000004	17	1000	7.1028
0.30000000000000004	18	1000	7.1313
0.30000000000000004	19	1000	7.1371
0.30000000000000004	20	1000	7.1589
0.4	1	1000	6.4392
0.4	2	1000	6.1592
0.4	3	1000	6.2802
0.4	4	1000	6.4283
0.4	5	1000	6.5586
0.4	6	1000	6.7361
0.4	7	1000	6.6984
0.4	8	1000	6.8203
0.4	9	1000	6.8455
0.4	10	1000	6.8803
0.4	11	1000	6.8405
0.4	12	1000	6.8509
0.4	13	1000	6.8625
0.4	14	1000	6.8603
0.4	15	1000	6.8636
0.4	16	1000	6.8670
0.4	17	1000	6.9747
0.4	18	1000	6.9609
0.4	19	1000	7.0082
0.4	20	1000	7.0028
0.5	1	1000	6.0010
0.5	2	1000	5.8100
0.5	3	1000	5.9483
0.5	4	1000	6.1660
0.5	5	1000	6.3288
0.5	6	1000	6.4372
0.5	7	1000	6.5287
0.5	8	1000	6.5992
0.5	9	1000	6.6253
0.5	10	1000	6.6759
0.5	11	1000	6.6883
0.5	12	1000	6.7115
0.5	13	1000	6.7315
0.5	14	1000	6.7449
0.5	15	1000	6.7319
0.5	16	1000	6.7583
0.5	17	1000	6.8800
0.5	18	1000	6.8889
0.5	19	1000	6.9203
0.5	20	1000	6.8929
0.6000000000000001	1	1000	5.5011
0.6000000000000001	2	1000	5.3807
0.6000000000000001	3	1000	5.5534
0.6000000000000001	4	1000	5.7930
0.6000000000000001	5	1000	6.0193
0.6000000000000001	6	1000	6.1913
0.6000000000000001	7	1000	6.2792
0.6000000000000001	8	1000	6.4235
0.6000000000000001	9	1000	6.4272
0.6000000000000001	10	1000	6.5198
0.6000000000000001	11	1000	6.5431
0.6000000000000001	12	1000	6.5692
0.6000000000000001	13	1000	6.6073
0.6000000000000001	14	1000	6.6117
0.6000000000000001	15	1000	6.6290
0.6000000000000001	16	1000	6.6451
0.6000000000000001	17	1000	6.7630
0.6000000000000001	18	1000	6.7733
0.6000000000000001	19	1000	6.7889
0.6000000000000001	20	1000	6.7850
0.7000000000000001	1	1000	5.0850
0.7000000000000001	2	1000	4.9629
0.7000000000000001	3	1000	5.2074
0.7000000000000001	4	1000	5.4980
0.7000000000000001	5	1000	5.7689
0.7000000000000001	6	1000	5.9450
0.7000000000000001	7	1000	6.0866
0.7000000000000001	8	1000	6.2461
0.7000000000000001	9	1000	6.2679
0.7000000000000001	10	1000	6.3722
0.7000000000000001	11	1000	6.3967
0.7000000000000001	12	1000	6.4318
0.7000000000000001	13	1000	6.4692
0.7000000000000001	14	1000	6.4760
0.7000000000000001	15	1000	6.4750
0.7000000000000001	16	1000	6.5465
0.7000000000000001	17	1000	6.6752
0.7000000000000001	18	1000	6.7040
0.7000000000000001	19	1000	6.6967
0.7000000000000001	20	1000	6.7126
0.8	1	1000	4.7678
0.8	2	1000	4.7621
0.8	3	1000	4.9891
0.8	4	1000	5.3140
0.8	5	1000	5.5669
0.8	6	1000	5.7955
0.8	7	1000	5.9356
0.8	8	1000	6.1444
0.8	9	1000	6.1615
0.8	10	1000	6.2867
0.8	11	1000	6.3186
0.8	12	1000	6.3450
0.8	13	1000	6.4716
0.8	14	1000	6.4544
