alpha	beta	solved	time
0.0	1	10000	74.5440
0.0	2	10000	74.2065
0.0	3	10000	74.2546
0.0	4	10000	73.6888
0.0	5	10000	73.5470
0.0	6	10000	73.5924
0.0	7	10000	73.6761
0.0	8	10000	73.4313
0.0	9	10000	73.5216
0.0	10	10000	73.5671
0.0	11	10000	73.3238
0.0	12	10000	73.1714
0.0	13	10000	73.1894
0.0	14	10000	73.3203
0.0	15	10000	73.1983
0.0	16	10000	73.3767
0.0	17	10000	104.0445
0.0	18	10000	125.3498
0.0	19	10000	125.2081
0.0	20	10000	125.0574
0.1	1	10000	118.7815
0.1	2	10000	117.3042
0.1	3	10000	117.6372
0.1	4	10000	117.2073
0.1	5	10000	117.4439
0.1	6	10000	117.9340
0.1	7	10000	126.1498
0.1	8	10000	118.1164
0.1	9	10000	117.6399
0.1	10	10000	117.4944
0.1	11	10000	117.7210
0.1	12	10000	117.6427
0.1	13	10000	117.5390
0.1	14	10000	117.7990
0.1	15	10000	117.8459
0.1	16	10000	117.8750
0.1	17	10000	117.8711
0.1	18	10000	118.0311
0.1	19	10000	118.1259
0.1	20	10000	118.0853
0.2	1	10000	115.8404
0.2	2	10000	112.5428
0.2	3	10000	113.1979
0.2	4	10000	113.3659
0.2	5	10000	113.4028
0.2	6	10000	113.9012
0.2	7	10000	113.6208
0.2	8	10000	113.4706
0.2	9	10000	113.6316
0.2	10	10000	113.6474
0.2	11	10000	114.2761
0.2	12	10000	114.6137
0.2	13	10000	114.6598
0.2	14	10000	114.6784
0.2	15	10000	114.0424
0.2	16	10000	115.0665
0.2	17	10000	115.3986
0.2	18	10000	115.4110
0.2	19	10000	115.7094
0.2	20	10000	115.6977
0.30000000000000004	1	10000	108.3730
0.30000000000000004	2	10000	105.6207
0.30000000000000004	3	10000	107.2068
0.30000000000000004	4	10000	108.2813
0.30000000000000004	5	10000	108.9636
0.30000000000000004	6	10000	109.1897
0.30000000000000004	7	10000	109.3503
0.30000000000000004	8	10000	109.6441
0.30000000000000004	9	10000	109.6326
0.30000000000000004	10	10000	110.0113
0.30000000000000004	11	10000	110.5269
0.30000000000000004	12	10000	111.5499
0.30000000000000004	13	10000	111.6203
0.30000000000000004	14	10000	111.8011
0.30000000000000004	15	10000	112.0630
0.30000000000000004	16	10000	112.4018
0.30000000000000004	17	10000	112.7672
0.30000000000000004	18	10000	112.7428
0.30000000000000004	19	10000	112.8935
0.30000000000000004	20	10000	113.2587
0.4	1	10000	101.9852
0.4	2	10000	99.9096
0.4	3	10000	102.3547
0.4	4	10000	103.3593
0.4	5	10000	103.9054
0.4	6	10000	104.6534
0.4	7	10000	105.3841
0.4	8	10000	105.9400
0.4	9	10000	105.9753
0.4	10	10000	106.9492
0.4	11	10000	107.5171
0.4	12	10000	108.4011
0.4	13	10000	108.6428
0.4	14	10000	109.0852
0.4	15	10000	109.2996
0.4	16	10000	109.5377
0.4	17	10000	110.0418
0.4	18	10000	110.4728
0.4	19	10000	110.7216
0.4	20	10000	111.0276
0.5	1	10000	96.7056
0.5	2	10000	95.7562
0.5	3	10000	97.9628
0.5	4	10000	99.4590
0.5	5	10000	100.3898
0.5	6	10000	101.7624
0.5	7	10000	102.0910
0.5	8	10000	102.8025
0.5	9	10000	103.5973
0.5	10	10000	104.2502
0.5	11	10000	105.1195
0.5	12	10000	106.0103
0.5	13	10000	105.9907
0.5	14	10000	106.6788
0.5	15	10000	107.1377
0.5	16	10000	107.3747
0.5	17	10000	107.7181
0.5	18	10000	108.2801
0.5	19	10000	108.3696
0.5	20	10000	109.0385
0.6000000000000001	1	10000	89.4713
0.6000000000000001	2	10000	89.6792
0.6000000000000001	3	10000	92.2092
0.6000000000000001	4	10000	94.3130
0.6000000000000001	5	10000	95.9680
0.6000000000000001	6	10000	97.6265
0.6000000000000001	7	10000	98.3004
0.6000000000000001	8	10000	99.3328
0.6000000000000001	9	10000	99.7634
0.6000000000000001	10	10000	101.1426
0.6000000000000001	11	10000	102.4242
0.6000000000000001	12	10000	103.8239
0.6000000000000001	13	10000	104.5159
0.6000000000000001	14	10000	104.7176
0.6000000000000001	15	10000	105.0821
0.6000000000000001	16	10000	105.6175
0.6000000000000001	17	10000	106.0015
0.6000000000000001	18	10000	106.4240
0.6000000000000001	19	10000	106.9967
0.6000000000000001	20	10000	107.2037
0.7000000000000001	1	10000	81.7280
0.7000000000000001	2	10000	82.9299
0.7000000000000001	3	10000	86.5484
0.7000000000000001	4	10000	89.3059
0.7000000000000001	5	10000	91.4256
0.7000000000000001	6	10000	93.5995
0.7000000000000001	7	10000	94.5765
0.7000000000000001	8	10000	96.2983
0.7000000000000001	9	10000	97.0957
0.7000000000000001	10	10000	98.8395
0.7000000000000001	11	10000	99.9761
0.7000000000000001	12	10000	101.7243
0.7000000000000001	13	10000	102.2145
0.7000000000000001	14	10000	102.8529
0.7000000000000001	15	10000	103.3302
0.7000000000000001	16	10000	103.6890
0.7000000000000001	17	10000	104.6109
0.7000000000000001	18	10000	104.9018
0.7000000000000001	19	10000	105.0226
0.7000000000000001	20	10000	105.6200
0.8	1	10000	76.1962
0.8	2	10000	78.3911
0.8	3	10000	82.7315
0.8	4	10000	86.1932
0.8	5	10000	88.7697
0.8	6	10000	91.2664
0.8	7	10000	92.2169
0.8	8	10000	94.2758
0.8	9	10000	95.3789
0.8	10	10000	97.6128
0.8	11	10000	98.6547
0.8	12	10000	100.1289
0.8	13	10000	100.6540
0.8	14	10000	101.4089
0.8	15	10000	101.9289
0.8	16	10000	102.6025
0.8	17	10000	103.0408
0.8	18	10000	103.4110
0.8	19	10000	103.7280
0.8	20	10000	104.2134
0.9	1	10000	73.9625
0.9	2	10000	76.2386
0.9	3	10000	81.1291
0.9	4	10000	84.7144
0.9	5	10000	87.0663
0.9	6	10000	58.2877
0.9	7	10000	53.4402
0.9	8	10000	54.8485
